firstName,lastName,gender,designation,subjects,email,phone,address
Elizabeth,Martin,MALE,Senior Teacher,Bangla;ICT;Religion,elizabeth.martin.teacher16@school.edu,555-8520-3522,6885 Faculty Ave, Townsville
Margaret,Garcia,FEMALE,Counselor,Chemistry;Physics;Biology,margaret.garcia.teacher17@school.edu,555-9001-5440,5682 Faculty Ave, Townsville
Lisa,Martin,FEMALE,Assistant Teacher,Chemistry;Biology,lisa.martin.teacher18@school.edu,555-7277-3717,951 Faculty Ave, Townsville
Michael,Taylor,MALE,Lecturer,Bangla;History,michael.taylor.teacher19@school.edu,555-2196-9920,7132 Faculty Ave, Townsville
Richard,Thomas,FEMALE,Lecturer,Bangla;English,richard.thomas.teacher20@school.edu,555-6300-7231,2677 Faculty Ave, Townsville
Jennifer,Young,FEMALE,Department Head,English;Bangla;Science,jennifer.young.teacher21@school.edu,555-7994-9997,879 Faculty Ave, Townsville
Michael,Thomas,FEMALE,Department Head,Bangla;English,michael.thomas.teacher22@school.edu,555-5827-8900,6265 Faculty Ave, Townsville
Michelle,Nguyen,FEMALE,Counselor,Science;Religion;English,michelle.nguyen.teacher23@school.edu,555-9659-4556,3284 Faculty Ave, Townsville
Donald,Clark,MALE,Department Head,ICT;Science,donald.clark.teacher24@school.edu,555-8758-9085,9310 Faculty Ave, Townsville
Linda,Hill,MALE,Senior Teacher,English;Physics,linda.hill.teacher25@school.edu,555-3845-2916,7303 Faculty Ave, Townsville
Susan,Martin,FEMALE,Counselor,Religion;Biology,susan.martin.teacher26@school.edu,555-5359-3309,63 Faculty Ave, Townsville
William,Smith,MALE,Department Head,Science;English;Mathematics,william.smith.teacher27@school.edu,555-8424-4738,7593 Faculty Ave, Townsville
Emily,Robinson,FEMALE,Department Head,Bangla;English,emily.robinson.teacher28@school.edu,555-9662-6390,3124 Faculty Ave, Townsville
Robert,Brown,FEMALE,Substitute Teacher,Mathematics;Bangla;English,robert.brown.teacher29@school.edu,555-6137-4827,5847 Faculty Ave, Townsville
Mark,Wilson,FEMALE,Department Head,Science;English;Bangla,mark.wilson.teacher30@school.edu,555-6064-7385,4150 Faculty Ave, Townsville
Joshua,Moore,MALE,Lecturer,English;Bangla,joshua.moore.teacher31@school.edu,555-4395-1214,7052 Faculty Ave, Townsville
Robert,Martinez,MALE,Department Head,Mathematics;History;English,robert.martinez.teacher32@school.edu,555-6061-8874,8328 Faculty Ave, Townsville
Mary,Perez,MALE,Counselor,Chemistry;Physics,mary.perez.teacher33@school.edu,555-9727-1547,927 Faculty Ave, Townsville
Mark,Rodriguez,FEMALE,Department Head,English;Biology;Bangla,mark.rodriguez.teacher34@school.edu,555-1376-9750,126 Faculty Ave, Townsville
Daniel,Martin,FEMALE,Lecturer,Physics;Science,daniel.martin.teacher35@school.edu,555-2979-6610,7373 Faculty Ave, Townsville
Jessica,Garcia,MALE,Senior Teacher,Mathematics;ICT,jessica.garcia.teacher36@school.edu,555-2208-3059,5184 Faculty Ave, Townsville
Donald,Miller,FEMALE,Lecturer,Chemistry;Physics;Biology,donald.miller.teacher37@school.edu,555-1889-8702,2693 Faculty Ave, Townsville
Christopher,Robinson,FEMALE,Assistant Teacher,Mathematics;ICT;Science,christopher.robinson.teacher38@school.edu,555-6210-3991,3458 Faculty Ave, Townsville
William,Jackson,MALE,Substitute Teacher,Biology;Chemistry;Science,william.jackson.teacher39@school.edu,555-9070-9692,7619 Faculty Ave, Townsville
Paul,Hill,FEMALE,Counselor,Religion;Science,paul.hill.teacher40@school.edu,555-7584-1148,1424 Faculty Ave, Townsville
Mary,Gonzalez,FEMALE,Department Head,Physics;Biology,mary.gonzalez.teacher41@school.edu,555-5494-7617,7389 Faculty Ave, Townsville
Charles,Anderson,FEMALE,Substitute Teacher,Physics;Chemistry;Biology,charles.anderson.teacher42@school.edu,555-5544-3550,2091 Faculty Ave, Townsville
Betty,Clark,FEMALE,Senior Teacher,Chemistry;Physics;Biology,betty.clark.teacher43@school.edu,555-4832-9159,3974 Faculty Ave, Townsville
Richard,Johnson,FEMALE,Assistant Teacher,English;Religion,richard.johnson.teacher44@school.edu,555-2671-6026,9907 Faculty Ave, Townsville
Karen,Williams,FEMALE,Substitute Teacher,Geography;Bangla;Mathematics,karen.williams.teacher45@school.edu,555-5224-8890,7408 Faculty Ave, Townsville
David,Brown,MALE,Assistant Teacher,Science;Mathematics;Bangla,david.brown.teacher46@school.edu,555-3134-2766,7346 Faculty Ave, Townsville
Christopher,Hill,MALE,Assistant Teacher,Biology;Physics,christopher.hill.teacher47@school.edu,555-3090-7678,5781 Faculty Ave, Townsville
Anthony,Moore,MALE,Senior Teacher,Physics;Religion;Chemistry,anthony.moore.teacher48@school.edu,555-1931-3067,7339 Faculty Ave, Townsville
Barbara,Ramirez,MALE,Department Head,English;Mathematics,barbara.ramirez.teacher49@school.edu,555-8654-6794,808 Faculty Ave, Townsville
Joshua,Walker,FEMALE,Department Head,Science;English,joshua.walker.teacher50@school.edu,555-7969-9563,3529 Faculty Ave, Townsville
Michael,Miller,FEMALE,Senior Teacher,Chemistry;English,michael.miller.teacher51@school.edu,555-3864-4866,6255 Faculty Ave, Townsville
Jessica,Jones,FEMALE,Counselor,Bangla;Chemistry,jessica.jones.teacher52@school.edu,555-7954-4685,9887 Faculty Ave, Townsville
Margaret,Allen,MALE,Substitute Teacher,Biology;Physics,margaret.allen.teacher53@school.edu,555-1102-8554,3793 Faculty Ave, Townsville
Anthony,Anderson,MALE,Substitute Teacher,History;Bangla;Mathematics,anthony.anderson.teacher54@school.edu,555-4473-7820,879 Faculty Ave, Townsville
James,Johnson,MALE,Counselor,Physics;Biology;Chemistry,james.johnson.teacher55@school.edu,555-2576-5108,4994 Faculty Ave, Townsville
Linda,Lopez,FEMALE,Senior Teacher,English;Bangla,linda.lopez.teacher56@school.edu,555-1105-1981,7292 Faculty Ave, Townsville
Robert,Wilson,FEMALE,Assistant Teacher,Biology;Physics;Chemistry,robert.wilson.teacher57@school.edu,555-9454-6918,7541 Faculty Ave, Townsville
Margaret,Young,FEMALE,Assistant Teacher,Bangla;English,margaret.young.teacher58@school.edu,555-3794-1020,4112 Faculty Ave, Townsville
Barbara,Lopez,MALE,Assistant Teacher,Science;Mathematics;Bangla,barbara.lopez.teacher59@school.edu,555-9736-3795,5237 Faculty Ave, Townsville
Barbara,White,FEMALE,Assistant Teacher,Bangla;Mathematics;English,barbara.white.teacher60@school.edu,555-7516-6717,8560 Faculty Ave, Townsville
Donna,Nguyen,FEMALE,Lecturer,Physics;Bangla,donna.nguyen.teacher61@school.edu,555-6344-3608,8644 Faculty Ave, Townsville
Michelle,Smith,MALE,Senior Teacher,English;Religion;History,michelle.smith.teacher62@school.edu,555-6592-5557,2298 Faculty Ave, Townsville
Linda,Perez,MALE,Assistant Teacher,Mathematics;English,linda.perez.teacher63@school.edu,555-8415-2650,6452 Faculty Ave, Townsville
Betty,Torres,FEMALE,Lecturer,English;Chemistry,betty.torres.teacher64@school.edu,555-5501-4913,9385 Faculty Ave, Townsville
James,Garcia,FEMALE,Lecturer,English;History;ICT,james.garcia.teacher65@school.edu,555-1519-9295,598 Faculty Ave, Townsville
Sandra,King,FEMALE,Department Head,Mathematics;English,sandra.king.teacher66@school.edu,555-7346-8829,1475 Faculty Ave, Townsville
Nancy,White,FEMALE,Assistant Teacher,Bangla;Chemistry;English,nancy.white.teacher67@school.edu,555-3078-1531,2399 Faculty Ave, Townsville
Daniel,Jones,MALE,Lecturer,Bangla;English;Mathematics,daniel.jones.teacher68@school.edu,555-1898-4619,2648 Faculty Ave, Townsville
Mary,Perez,FEMALE,Counselor,Biology;Physics;Chemistry,mary.perez.teacher69@school.edu,555-2575-5124,9183 Faculty Ave, Townsville
Kimberly,King,MALE,Counselor,History;Mathematics;Bangla,kimberly.king.teacher70@school.edu,555-8342-4904,2589 Faculty Ave, Townsville
Nancy,Rodriguez,FEMALE,Assistant Teacher,Geography;Religion;Bangla,nancy.rodriguez.teacher71@school.edu,555-5765-1198,3507 Faculty Ave, Townsville
Anthony,Brown,FEMALE,Counselor,Physics;Religion;Chemistry,anthony.brown.teacher72@school.edu,555-1460-4565,3796 Faculty Ave, Townsville
Lisa,Williams,FEMALE,Substitute Teacher,English;Chemistry,lisa.williams.teacher73@school.edu,555-7389-8194,946 Faculty Ave, Townsville
Linda,Hill,MALE,Department Head,Mathematics;English,linda.hill.teacher74@school.edu,555-1654-1270,6606 Faculty Ave, Townsville
Patricia,Jones,MALE,Lecturer,Geography;ICT;Science,patricia.jones.teacher75@school.edu,555-3356-3033,7432 Faculty Ave, Townsville
Elizabeth,Wilson,FEMALE,Assistant Teacher,English;ICT,elizabeth.wilson.teacher76@school.edu,555-4183-8081,9358 Faculty Ave, Townsville
Richard,Thomas,MALE,Substitute Teacher,Physics;Biology;Bangla,richard.thomas.teacher77@school.edu,555-5260-7398,758 Faculty Ave, Townsville
Michael,Thomas,MALE,Substitute Teacher,English;Bangla;Mathematics,michael.thomas.teacher78@school.edu,555-4243-9752,9694 Faculty Ave, Townsville
Betty,Rodriguez,MALE,Senior Teacher,Religion;English,betty.rodriguez.teacher79@school.edu,555-3160-1348,5653 Faculty Ave, Townsville
Joseph,Perez,FEMALE,Assistant Teacher,Mathematics;Bangla,joseph.perez.teacher80@school.edu,555-6006-3775,6148 Faculty Ave, Townsville
Matthew,Jones,MALE,Department Head,Mathematics;English,matthew.jones.teacher81@school.edu,555-5588-6050,5694 Faculty Ave, Townsville
Paul,Brown,FEMALE,Lecturer,Religion;ICT,paul.brown.teacher82@school.edu,555-5071-8022,4129 Faculty Ave, Townsville
Karen,Taylor,FEMALE,Substitute Teacher,English;Biology;Chemistry,karen.taylor.teacher83@school.edu,555-8483-6638,8621 Faculty Ave, Townsville
John,Torres,MALE,Department Head,Chemistry;Biology;Bangla,john.torres.teacher84@school.edu,555-5315-3463,3453 Faculty Ave, Townsville
Paul,Young,MALE,Lecturer,Biology;English;Physics,paul.young.teacher85@school.edu,555-5782-7958,7755 Faculty Ave, Townsville
Matthew,Jackson,MALE,Counselor,ICT;Bangla;Religion,matthew.jackson.teacher86@school.edu,555-8013-6104,2868 Faculty Ave, Townsville
Mark,Martinez,MALE,Counselor,Science;English;Mathematics,mark.martinez.teacher87@school.edu,555-7689-3949,6290 Faculty Ave, Townsville
Joseph,Taylor,MALE,Counselor,Biology;Chemistry,joseph.taylor.teacher88@school.edu,555-5368-2589,8303 Faculty Ave, Townsville
Nancy,Jackson,FEMALE,Lecturer,Mathematics;English,nancy.jackson.teacher89@school.edu,555-1139-8423,5528 Faculty Ave, Townsville
Karen,White,MALE,Counselor,Bangla;Physics,karen.white.teacher90@school.edu,555-7933-7188,156 Faculty Ave, Townsville
Betty,Martinez,FEMALE,Department Head,English;Bangla,betty.martinez.teacher91@school.edu,555-1675-6112,5672 Faculty Ave, Townsville
Patricia,Lewis,MALE,Counselor,ICT;Physics,patricia.lewis.teacher92@school.edu,555-9790-6981,5782 Faculty Ave, Townsville
Matthew,Sanchez,FEMALE,Counselor,Chemistry;ICT;Biology,matthew.sanchez.teacher93@school.edu,555-1655-5452,7947 Faculty Ave, Townsville
Daniel,Anderson,MALE,Assistant Teacher,English;Science;Mathematics,daniel.anderson.teacher94@school.edu,555-9188-3652,3910 Faculty Ave, Townsville
Betty,Lopez,MALE,Counselor,English;Biology,betty.lopez.teacher95@school.edu,555-5285-4625,713 Faculty Ave, Townsville
Donald,Sanchez,MALE,Department Head,History;Physics,donald.sanchez.teacher96@school.edu,555-5656-8483,3766 Faculty Ave, Townsville
Mark,White,MALE,Substitute Teacher,Mathematics;English,mark.white.teacher97@school.edu,555-4350-3232,4545 Faculty Ave, Townsville
Thomas,Lopez,FEMALE,Department Head,English;Bangla,thomas.lopez.teacher98@school.edu,555-6638-5062,4206 Faculty Ave, Townsville
Thomas,Hill,MALE,Department Head,Bangla;Mathematics;English,thomas.hill.teacher99@school.edu,555-4641-5425,8930 Faculty Ave, Townsville
Kimberly,Jackson,FEMALE,Assistant Teacher,ICT;Bangla,kimberly.jackson.teacher100@school.edu,555-7395-7245,8472 Faculty Ave, Townsville
Susan,White,FEMALE,Senior Teacher,Bangla;English;Mathematics,susan.white.teacher101@school.edu,555-7452-6862,5454 Faculty Ave, Townsville
William,Lopez,MALE,Department Head,Mathematics;Physics;Biology,william.lopez.teacher102@school.edu,555-7874-6596,5112 Faculty Ave, Townsville
Donna,Lopez,FEMALE,Assistant Teacher,English;Mathematics;History,donna.lopez.teacher103@school.edu,555-3862-3689,1148 Faculty Ave, Townsville
Karen,Garcia,FEMALE,Lecturer,Physics;Chemistry;Biology,karen.garcia.teacher104@school.edu,555-5200-5621,3618 Faculty Ave, Townsville
Margaret,Ramirez,MALE,Counselor,English;Bangla;Physics,margaret.ramirez.teacher105@school.edu,555-6276-3379,2135 Faculty Ave, Townsville
Emily,Robinson,MALE,Senior Teacher,Mathematics;English;Bangla,emily.robinson.teacher106@school.edu,555-3921-5689,2492 Faculty Ave, Townsville
Matthew,Jones,MALE,Department Head,History;Religion,matthew.jones.teacher107@school.edu,555-9644-4155,8131 Faculty Ave, Townsville
Kimberly,Walker,FEMALE,Assistant Teacher,Mathematics;English,kimberly.walker.teacher108@school.edu,555-7411-8487,1481 Faculty Ave, Townsville
Karen,Scott,MALE,Counselor,Religion;Biology,karen.scott.teacher109@school.edu,555-6715-2713,3448 Faculty Ave, Townsville
Joshua,Lee,MALE,Senior Teacher,Bangla;English,joshua.lee.teacher110@school.edu,555-2408-4077,3109 Faculty Ave, Townsville
Donald,Moore,FEMALE,Department Head,Bangla;English;Religion,donald.moore.teacher111@school.edu,555-1266-6128,3637 Faculty Ave, Townsville
Patricia,Hernandez,MALE,Department Head,Mathematics;Religion;History,patricia.hernandez.teacher112@school.edu,555-4073-2448,1257 Faculty Ave, Townsville
Lisa,Miller,FEMALE,Senior Teacher,Religion;ICT;Geography,lisa.miller.teacher113@school.edu,555-2958-7504,3794 Faculty Ave, Townsville
Nancy,Lopez,FEMALE,Department Head,Chemistry;Physics;ICT,nancy.lopez.teacher114@school.edu,555-4133-3285,1050 Faculty Ave, Townsville
Donald,Walker,MALE,Senior Teacher,Mathematics;English,donald.walker.teacher115@school.edu,555-2895-1361,6450 Faculty Ave, Townsville
Susan,Harris,MALE,Lecturer,Physics;Biology;Chemistry,susan.harris.teacher116@school.edu,555-2153-3133,8907 Faculty Ave, Townsville
John,Perez,FEMALE,Substitute Teacher,English;Mathematics;Bangla,john.perez.teacher117@school.edu,555-9536-6559,5328 Faculty Ave, Townsville
Sarah,Perez,FEMALE,Assistant Teacher,Science;Bangla;Physics,sarah.perez.teacher118@school.edu,555-6685-4754,4707 Faculty Ave, Townsville
John,Lewis,FEMALE,Assistant Teacher,Religion;ICT;Geography,john.lewis.teacher119@school.edu,555-6517-4336,2758 Faculty Ave, Townsville
Mary,Thomas,FEMALE,Counselor,Physics;Biology,mary.thomas.teacher120@school.edu,555-7637-2370,5381 Faculty Ave, Townsville
Michael,Johnson,FEMALE,Senior Teacher,Physics;Bangla;Biology,michael.johnson.teacher121@school.edu,555-7540-6838,7271 Faculty Ave, Townsville
Joseph,Nguyen,MALE,Department Head,Science;Biology;Physics,joseph.nguyen.teacher122@school.edu,555-5250-2882,6589 Faculty Ave, Townsville
Mary,Anderson,FEMALE,Lecturer,English;Bangla,mary.anderson.teacher123@school.edu,555-2299-1453,8054 Faculty Ave, Townsville
Steven,Robinson,MALE,Counselor,Science;Physics,steven.robinson.teacher124@school.edu,555-4277-8870,3530 Faculty Ave, Townsville
Christopher,White,MALE,Senior Teacher,Bangla;English;Mathematics,christopher.white.teacher125@school.edu,555-6159-5722,3033 Faculty Ave, Townsville
Mark,Taylor,MALE,Senior Teacher,Biology;Chemistry,mark.taylor.teacher126@school.edu,555-6366-3114,1249 Faculty Ave, Townsville
Sarah,Gonzalez,MALE,Senior Teacher,Mathematics;Science;English,sarah.gonzalez.teacher127@school.edu,555-5954-4465,8855 Faculty Ave, Townsville
Michelle,Jones,MALE,Department Head,Mathematics;English;Bangla,michelle.jones.teacher128@school.edu,555-5570-7041,7308 Faculty Ave, Townsville
William,King,MALE,Substitute Teacher,Bangla;Science;English,william.king.teacher129@school.edu,555-9378-7561,9518 Faculty Ave, Townsville
Emily,Lewis,FEMALE,Lecturer,Religion;History,emily.lewis.teacher130@school.edu,555-4188-5441,7163 Faculty Ave, Townsville
Sandra,Walker,FEMALE,Department Head,Physics;Science,sandra.walker.teacher131@school.edu,555-8887-3646,4190 Faculty Ave, Townsville
Mark,Gonzalez,MALE,Department Head,Physics;Science;ICT,mark.gonzalez.teacher132@school.edu,555-2257-5032,5296 Faculty Ave, Townsville
Patricia,Johnson,FEMALE,Department Head,Science;Mathematics;English,patricia.johnson.teacher133@school.edu,555-1613-4938,6797 Faculty Ave, Townsville
Susan,Lee,MALE,Department Head,Mathematics;English;History,susan.lee.teacher134@school.edu,555-5149-1405,9532 Faculty Ave, Townsville
Andrew,Allen,FEMALE,Counselor,Bangla;Religion;Physics,andrew.allen.teacher135@school.edu,555-6823-8595,7144 Faculty Ave, Townsville
Joseph,Harris,FEMALE,Senior Teacher,English;Science;Mathematics,joseph.harris.teacher136@school.edu,555-7106-2137,280 Faculty Ave, Townsville
Lisa,Harris,MALE,Assistant Teacher,Physics;Geography,lisa.harris.teacher137@school.edu,555-9947-8528,8213 Faculty Ave, Townsville
Kimberly,Williams,FEMALE,Senior Teacher,Mathematics;Bangla,kimberly.williams.teacher138@school.edu,555-1971-9678,6911 Faculty Ave, Townsville
David,Lopez,FEMALE,Substitute Teacher,Biology;Physics;Chemistry,david.lopez.teacher139@school.edu,555-1172-5990,4069 Faculty Ave, Townsville
John,Martin,MALE,Counselor,English;Bangla,john.martin.teacher140@school.edu,555-1091-5237,4906 Faculty Ave, Townsville
James,Hill,FEMALE,Assistant Teacher,Science;History;English,james.hill.teacher141@school.edu,555-1893-1647,6860 Faculty Ave, Townsville
Sandra,Miller,MALE,Assistant Teacher,Bangla;Mathematics,sandra.miller.teacher142@school.edu,555-3808-8977,45 Faculty Ave, Townsville
Karen,Moore,MALE,Assistant Teacher,Science;English,karen.moore.teacher143@school.edu,555-6644-7428,7142 Faculty Ave, Townsville
Margaret,Nguyen,FEMALE,Senior Teacher,Physics;Chemistry,margaret.nguyen.teacher144@school.edu,555-4520-2697,2265 Faculty Ave, Townsville
Mark,Lee,FEMALE,Senior Teacher,Bangla;English,mark.lee.teacher145@school.edu,555-8026-5135,6433 Faculty Ave, Townsville
Daniel,White,FEMALE,Counselor,Science;English;Mathematics,daniel.white.teacher146@school.edu,555-4700-1099,1241 Faculty Ave, Townsville
Andrew,Young,MALE,Senior Teacher,Biology;English,andrew.young.teacher147@school.edu,555-1991-5082,5465 Faculty Ave, Townsville
Joshua,Robinson,MALE,Lecturer,English;Bangla;Mathematics,joshua.robinson.teacher148@school.edu,555-2375-9072,2209 Faculty Ave, Townsville
Sarah,Thomas,FEMALE,Counselor,Mathematics;English;Science,sarah.thomas.teacher149@school.edu,555-8398-2792,770 Faculty Ave, Townsville
Andrew,Clark,FEMALE,Lecturer,Bangla;Physics;Biology,andrew.clark.teacher150@school.edu,555-1424-9968,4930 Faculty Ave, Townsville
Christopher,Martinez,MALE,Department Head,English;Science,christopher.martinez.teacher151@school.edu,555-9532-4487,3592 Faculty Ave, Townsville
Robert,Walker,MALE,Department Head,Bangla;Chemistry;Biology,robert.walker.teacher152@school.edu,555-5022-6185,2004 Faculty Ave, Townsville
Jessica,White,FEMALE,Assistant Teacher,Bangla;Mathematics,jessica.white.teacher153@school.edu,555-2595-2648,5551 Faculty Ave, Townsville
Mary,Anderson,MALE,Senior Teacher,English;Science,mary.anderson.teacher154@school.edu,555-6805-6666,464 Faculty Ave, Townsville
Sandra,Johnson,MALE,Substitute Teacher,Bangla;English;Religion,sandra.johnson.teacher155@school.edu,555-4206-4129,3303 Faculty Ave, Townsville
Ashley,Jackson,MALE,Lecturer,Science;Mathematics;Bangla,ashley.jackson.teacher156@school.edu,555-5249-1128,2036 Faculty Ave, Townsville
Anthony,Moore,FEMALE,Department Head,Biology;Physics;Chemistry,anthony.moore.teacher157@school.edu,555-2067-6442,6806 Faculty Ave, Townsville
Charles,King,FEMALE,Substitute Teacher,Bangla;Physics,charles.king.teacher158@school.edu,555-3720-1027,3240 Faculty Ave, Townsville
Steven,Gonzalez,FEMALE,Department Head,English;Bangla,steven.gonzalez.teacher159@school.edu,555-5035-4015,4359 Faculty Ave, Townsville
Paul,Wilson,MALE,Counselor,History;Science;English,paul.wilson.teacher160@school.edu,555-4318-8030,7646 Faculty Ave, Townsville
Patricia,Allen,MALE,Lecturer,Chemistry;Religion;Biology,patricia.allen.teacher161@school.edu,555-5764-2351,1496 Faculty Ave, Townsville
Richard,Martin,MALE,Senior Teacher,ICT;Geography,richard.martin.teacher162@school.edu,555-7749-8031,9633 Faculty Ave, Townsville
Nancy,Allen,FEMALE,Senior Teacher,Physics;Biology,nancy.allen.teacher163@school.edu,555-6137-3901,116 Faculty Ave, Townsville
Ashley,Moore,MALE,Lecturer,Physics;Religion,ashley.moore.teacher164@school.edu,555-6053-4782,1602 Faculty Ave, Townsville
Anthony,Anderson,MALE,Senior Teacher,Physics;Biology,anthony.anderson.teacher165@school.edu,555-5008-5938,9976 Faculty Ave, Townsville
Richard,Martin,FEMALE,Lecturer,English;Bangla,richard.martin.teacher166@school.edu,555-2306-5191,8588 Faculty Ave, Townsville
Richard,Wright,MALE,Department Head,Bangla;Mathematics,richard.wright.teacher167@school.edu,555-1503-3056,2136 Faculty Ave, Townsville
Thomas,Jones,FEMALE,Lecturer,Physics;Biology;ICT,thomas.jones.teacher168@school.edu,555-8681-3204,4873 Faculty Ave, Townsville
Robert,Taylor,MALE,Assistant Teacher,Mathematics;Biology,robert.taylor.teacher169@school.edu,555-1855-6285,1953 Faculty Ave, Townsville
Barbara,Lopez,FEMALE,Substitute Teacher,Physics;Bangla,barbara.lopez.teacher170@school.edu,555-8501-6819,9448 Faculty Ave, Townsville
Mary,Sanchez,FEMALE,Department Head,English;Biology;Physics,mary.sanchez.teacher171@school.edu,555-2873-5280,3971 Faculty Ave, Townsville
Paul,Flores,MALE,Department Head,History;ICT;Bangla,paul.flores.teacher172@school.edu,555-9109-8935,9749 Faculty Ave, Townsville
Michael,Jackson,MALE,Lecturer,English;Bangla;Science,michael.jackson.teacher173@school.edu,555-5520-5973,7954 Faculty Ave, Townsville
Susan,Torres,FEMALE,Lecturer,Bangla;Mathematics,susan.torres.teacher174@school.edu,555-4159-1180,9357 Faculty Ave, Townsville
Jessica,Jackson,MALE,Counselor,Chemistry;Physics,jessica.jackson.teacher175@school.edu,555-5923-7578,8684 Faculty Ave, Townsville
Elizabeth,Moore,FEMALE,Department Head,History;Biology;Physics,elizabeth.moore.teacher176@school.edu,555-9101-4631,3459 Faculty Ave, Townsville
Joshua,Martinez,MALE,Senior Teacher,English;Science,joshua.martinez.teacher177@school.edu,555-4093-3684,7370 Faculty Ave, Townsville
Matthew,Lee,MALE,Assistant Teacher,History;Biology,matthew.lee.teacher178@school.edu,555-9122-2898,8895 Faculty Ave, Townsville
Elizabeth,King,FEMALE,Assistant Teacher,English;Physics,elizabeth.king.teacher179@school.edu,555-8629-3241,3190 Faculty Ave, Townsville
Susan,Perez,FEMALE,Substitute Teacher,Bangla;ICT;English,susan.perez.teacher180@school.edu,555-5540-5860,9571 Faculty Ave, Townsville
Charles,Sanchez,MALE,Substitute Teacher,Biology;Physics;Chemistry,charles.sanchez.teacher181@school.edu,555-6218-2384,4763 Faculty Ave, Townsville
Margaret,Martin,FEMALE,Lecturer,Physics;ICT;Biology,margaret.martin.teacher182@school.edu,555-7504-4352,4920 Faculty Ave, Townsville
Sandra,Flores,FEMALE,Lecturer,Physics;Science,sandra.flores.teacher183@school.edu,555-8204-9444,8186 Faculty Ave, Townsville
Karen,Garcia,FEMALE,Department Head,Biology;Physics,karen.garcia.teacher184@school.edu,555-8430-2900,6759 Faculty Ave, Townsville
Emily,Wilson,MALE,Substitute Teacher,Religion;Mathematics;ICT,emily.wilson.teacher185@school.edu,555-3107-4915,7170 Faculty Ave, Townsville
Karen,Perez,FEMALE,Department Head,Geography;English;Religion,karen.perez.teacher186@school.edu,555-6574-6348,2596 Faculty Ave, Townsville
Elizabeth,Davis,MALE,Substitute Teacher,Biology;Geography,elizabeth.davis.teacher187@school.edu,555-6843-4193,2783 Faculty Ave, Townsville
James,Clark,FEMALE,Substitute Teacher,Bangla;English;Science,james.clark.teacher188@school.edu,555-3573-6196,3851 Faculty Ave, Townsville
Lisa,Scott,MALE,Senior Teacher,Bangla;Geography,lisa.scott.teacher189@school.edu,555-7999-3491,4645 Faculty Ave, Townsville
James,Allen,FEMALE,Lecturer,Biology;English,james.allen.teacher190@school.edu,555-6577-5317,362 Faculty Ave, Townsville
Jessica,Davis,MALE,Counselor,Physics;Biology,jessica.davis.teacher191@school.edu,555-7074-8273,3978 Faculty Ave, Townsville
Susan,Wright,FEMALE,Substitute Teacher,Physics;Chemistry;Biology,susan.wright.teacher192@school.edu,555-7735-3822,5632 Faculty Ave, Townsville
Michael,Davis,MALE,Lecturer,English;Physics;Biology,michael.davis.teacher193@school.edu,555-7247-3928,1306 Faculty Ave, Townsville
